data_hora;nome;whatsapp;tier;segmento;etapa;tentativas_contato1;count_messages;lead_id
2026-06-01 22:28;Matheus Leite;5531972472125;4;Outro;abertura;2;1;0a002b2f-6ea6-40d4-ae9e-db24989409e3
2026-06-01 22:38;Ines;5517827408854;4;Pizzaria;abertura;2;1;6b4c8c02-f0ec-4b31-9e38-22c5e71723c3
2026-06-02 06:33;Suzanne;5514762103649;4;Pizzaria;abertura;2;1;b8d6f695-3c66-4ed0-80de-bfe433cf6c4e
2026-06-02 08:07;Kiel;5515569184769;4;Pizzaria;abertura;2;1;1a0c2da5-e1f0-4349-a16d-a43aba71ca56
2026-06-02 08:28;Hassan;5518454627335;4;Pizzaria;abertura;2;1;d1b31afe-eee5-4d62-9887-74d026a821cb
2026-06-02 08:28;Ari;5518255084064;4;Pizzaria;abertura;2;1;74d339c1-1e1f-4431-9d9a-13629d590e0c
2026-06-02 09:10;Stephany;5517553913971;4;Pizzaria;abertura;2;1;3d405d42-7c20-465f-b2c6-7e4310bf2631
2026-06-02 09:19;Syble;5516354912016;4;Pizzaria;abertura;2;1;d9ab4c36-ff50-4b99-8066-69a4620ba9bb
2026-06-02 09:36;Ebony;5512738046475;4;Pizzaria;abertura;2;1;bd85610f-6913-4e64-8c17-fad442546cbf
2026-06-02 10:13;Grayce;5518996794231;4;Pizzaria;abertura;2;1;70a7ed84-b9a2-4391-a784-37131349a0e3
2026-06-02 10:36;Valentine;5516562158184;4;Pizzaria;abertura;2;1;c20d6b76-66e5-4e85-96aa-a973a284629c
2026-06-02 10:52;Columbus;5513469633227;4;Pizzaria;abertura;2;1;da1d482a-bfc2-45c0-95e3-ab8c57b7504e
2026-06-02 10:56;Bert;5514773391950;4;Pizzaria;abertura;2;1;fcf50c45-2226-4f6c-864f-247d9ece12db
2026-06-02 11:23;Jackelliny Medeiros;5594984388301;4;Açaiteria;abertura;2;1;a3990e28-410d-4b5f-bac7-32b288fca15e
2026-06-02 11:34;Ashleigh;5515099491132;4;Pizzaria;abertura;2;1;f007ddbe-c7a7-41fb-91d8-56e77ebfce63
2026-06-02 11:47;Makenna;5514777568079;4;Pizzaria;abertura;2;1;a6037f90-d45e-417c-9a8f-5337587bdf41
2026-06-02 11:47;Ernestina;5516843779697;4;Pizzaria;abertura;2;1;b55d7c55-71dd-4a82-a895-6bf76e07d52d
2026-06-02 11:51;Melyna;5513282098874;4;Pizzaria;abertura;2;1;a78a91ab-4cab-4f9c-ae54-d001356bf94d
2026-06-02 12:19;Cayla;5516237655749;4;Pizzaria;abertura;2;1;948f04b4-f91b-4341-b293-28550b5ee315
2026-06-02 12:21;Urban;5512835558035;4;Pizzaria;abertura;2;1;d1546fd7-9b21-44a1-9531-0391b8b007ef
2026-06-02 12:37;Ryann;5513667087836;4;Pizzaria;abertura;2;1;1a0cdfd1-492f-4afb-8d62-55078750f54e
2026-06-02 12:45;Nayeli;5514287827813;4;Pizzaria;abertura;2;1;63755503-d54b-4ec7-87f3-72eea40d257b
2026-06-02 12:46;Ethan;5512917994724;4;Pizzaria;abertura;2;1;e1d06b2c-351c-4561-b327-4b8bd0328a7f
2026-06-02 13:58;Drew;5516718179627;4;Pizzaria;abertura;2;1;648bf064-b50e-4af2-aa24-10fe355dfcda
2026-06-02 14:21;Halle;5514093359720;4;Pizzaria;abertura;2;1;7460edb3-e851-4220-9ab7-9f4f195c8a5d
2026-06-02 14:32;Aisha;5517612946659;4;Pizzaria;abertura;2;1;6ef9638e-18f4-425a-aaed-8f5891714249
2026-06-02 14:46;GABRIELA ;5535984716424;4;Hamburgueria;abertura;2;1;55b1850d-674b-4180-850d-8a0d009444b4
2026-06-02 15:34;Dereck;5517257631708;4;Pizzaria;abertura;2;1;0f799466-7d96-41eb-bd8d-bd22fa2d33f0
2026-06-02 15:40;Raina;5514494451867;4;Pizzaria;abertura;2;1;83657e94-968b-42e5-8b87-637efd4e35e0
2026-06-02 16:44;Vladimir;5513515904044;4;Pizzaria;abertura;2;1;725fd767-fa54-4468-b299-2a916f62c394
2026-06-02 18:12;Name;5518716053984;4;Pizzaria;abertura;2;1;6dbac3fb-85d2-4514-9830-5b8ed1be7670
2026-06-02 21:09;AP COMERCIO DE ALIMENTO;5511964318211;4;Marmitaria;abertura;2;1;ec3f796f-461c-4cf9-81db-1f68ca59abd7
